osm_id,category,name,lat,lon,capacity_estimate,capacity_source,pm2_5,us_aqi,observation_time,province,is_shelter
health_facility_46,health_facility,PS Sante De Fer Multi System (Poste de Santé),-11.559927999999957,27.570333000000065,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_47,health_facility,PS Trinite (Poste de Santé),-11.541876999999944,27.58007700000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_48,health_facility,CM Uchyungu Ya Mzazi (Centre Médical),-11.544947999999977,27.58650700000004,40,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_49,health_facility,PS Wafwako Yesu (Poste de Santé),-11.558254999999974,27.54778300000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_50,health_facility,PS Yehonipa (Poste de Santé),-11.532317999999975,27.56732000000005,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_51,health_facility,CS Kasongo (Centre de Santé),-11.460741999999982,27.90148300000004,30,type_based_estimate_non_shelter,23.0,89.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_52,health_facility,PS Kasepa Kalamusanga (Poste de Santé),-11.446972999999955,27.930822000000035,15,type_based_estimate_non_shelter,23.0,89.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_53,health_facility,PS Kibuye (Poste de Santé),-11.463976999999945,27.85308800000007,15,type_based_estimate_non_shelter,23.0,89.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_54,health_facility,PS Kibutu (Poste de Santé),-11.402409999999977,27.84563300000008,15,type_based_estimate_non_shelter,23.0,89.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_55,health_facility,PS Bon Samaritin (Poste de Santé),-11.56474499999996,27.575383000000045,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_56,health_facility,CH Chiara Lubich (Centre Hopitalier),-11.568584999999928,27.56814300000008,80,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_57,health_facility,PS Umulopa (Poste de Santé),-11.560602999999958,27.56991500000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_58,health_facility,CS Kikanda (Centre de Santé),-11.546391999999967,27.610055000000045,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_59,health_facility,CS Schilo (Centre de Santé),-11.575706999999966,27.54995300000008,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_60,health_facility,PS Dieu Est La Vie (Poste de Santé),-11.562821999999926,27.56617800000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_61,health_facility,PS Eben Ezer (Poste de Santé),-11.558082999999954,27.591692000000023,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_62,health_facility,PS Les Amis De Dr Lubo (Poste de Santé),-11.563232999999968,27.565887000000032,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_63,health_facility,PS Les Elites (Poste de Santé),-11.56451999999996,27.56200300000006,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_64,health_facility,PS Maisha (Poste de Santé),-11.57635799999997,27.595750000000063,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_65,health_facility,PS Nuee De Gloire (Poste de Santé),-11.560566999999937,27.58178000000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_66,health_facility,POLY La Consolate (Polyclinque),-11.571901999999966,27.55434800000006,50,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_67,health_facility,PS Feuille D Olive (Poste de Santé),-11.564139999999952,27.56435700000003,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_68,health_facility,PS La Compassion (Poste de Santé),-11.568559999999934,27.557205000000067,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_69,health_facility,PS Rafiki (Poste de Santé),-11.55674799999997,27.60907700000007,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_70,health_facility,PS Rafiki (Poste de Santé),-11.556649999999934,27.60923200000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_71,health_facility,PS Source Divine (Poste de Santé),-11.569811999999956,27.549147000000065,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_72,health_facility,SSC Kamiseshi (Site Soin Communautaire),-11.564966999999967,27.65400800000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_73,health_facility,CS Kikwanda (Centre de Santé),-11.625042999999948,27.64040700000004,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_74,health_facility,PS Amour Et Patience (Poste de Santé),-11.611347999999964,27.824907000000053,15,type_based_estimate_non_shelter,23.0,89.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_75,health_facility,PS Mamba (Poste de Santé),-11.61268999999993,27.70812500000005,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_76,health_facility,PS Texas (Poste de Santé),-11.63939199999993,27.76009700000003,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
